asin,category_tree_path,category_name,category_level
B0DM9SCLWD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DM9SCLWD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DM6ZJMVP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DM6ZJMVP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DM6ZJMVP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DM6ZJMVP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DM6ZJMVP,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DLHJYRND,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DLHJYRND,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DLHJYRND,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DLHJYRND,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DLHJYRND,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DLHMYX53,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DLHMYX53,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DLHMYX53,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DLHMYX53,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DLHMYX53,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DLHDCN6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DLHDCN6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DLHDCN6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DLHDCN6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DLHDCN6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DM71LG9C,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DM71LG9C,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DM71LG9C,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DM71LG9C,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DM71LG9C,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DLHDW2D9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DLHDW2D9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DLHDW2D9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DLHDW2D9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DLHDW2D9,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DLHGVQ7J,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DLHGVQ7J,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DLHGVQ7J,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DLHGVQ7J,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DLHGVQ7J,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DM74NVB4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DM74NVB4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DM74NVB4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DM74NVB4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DM74NVB4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DLHJZRF6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DLHJZRF6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DLHJZRF6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DLHJZRF6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DLHJZRF6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DM72HCV4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DM72HCV4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DM72HCV4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DM72HCV4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DM72HCV4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DLHTNHZJ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DLHTNHZJ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DLHTNHZJ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DLHTNHZJ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DLHTNHZJ,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DM72QY98,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DM72QY98,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DM72QY98,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DM72QY98,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DM72QY98,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B09V31JB9D,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B09V31JB9D,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B09V31JB9D,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B09V31JB9D,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B09V31JB9D,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DLHN4B38,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DLHN4B38,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DLHN4B38,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DLHN4B38,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DLHN4B38,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0C6FV9DYC,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0C6FV9DYC,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0C6FV9DYC,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0C6FV9DYC,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0C6FV9DYC,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0DF6QBHZS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0DF6QBHZS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0DF6QBHZS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0DF6QBHZS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0DF6QBHZS,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B08VGS2H3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B08VGS2H3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B08VGS2H3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B08VGS2H3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B08VGS2H3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B09V6CTRHX,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B09V6CTRHX,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B09V6CTRHX,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B09V6CTRHX,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B09V6CTRHX,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0CDHMGLG4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0CDHMGLG4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0CDHMGLG4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0CDHMGLG4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0CDHMGLG4,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0CMFMGB7Q,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0CMFMGB7Q,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0CMFMGB7Q,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0CMFMGB7Q,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0CMFMGB7Q,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B08PV4GYCL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B08PV4GYCL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B08PV4GYCL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B08PV4GYCL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B08PV4GYCL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B08T1NZMPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B08T1NZMPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B08T1NZMPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B08T1NZMPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B08T1NZMPN,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B09V7DCPH6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B09V7DCPH6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B09V7DCPH6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B09V7DCPH6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B09V7DCPH6,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0CF6DG41L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0CF6DG41L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0CF6DG41L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0CF6DG41L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0CF6DG41L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0CD2Y7N6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0CD2Y7N6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0CD2Y7N6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0CD2Y7N6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0CD2Y7N6P,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0CMVTJNDL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0CMVTJNDL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0CMVTJNDL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0CMVTJNDL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0CMVTJNDL,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B08PKZ98ZD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B08PKZ98ZD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B08PKZ98ZD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B08PKZ98ZD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B08PKZ98ZD,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B08PNQTYV2,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B08PNQTYV2,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B08PNQTYV2,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B08PNQTYV2,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B08PNQTYV2,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B08Q78RLMB,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B08Q78RLMB,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B08Q78RLMB,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B08Q78RLMB,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B08Q78RLMB,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0CD9NBZJR,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0CD9NBZJR,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0CD9NBZJR,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0CD9NBZJR,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0CD9NBZJR,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FWD5MR3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
B0FWD5MR3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Accessories,2
B0FWD5MR3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Computers & Tablets,3
B0FWD5MR3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Laptops,4
B0FWD5MR3L,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Traditional Laptops,5
B0FWD8WBSW,"Electronics,Computers & Accessories,Computers & Tablets,Laptops,Traditional Laptops",Electronics,1
